Song_id,Quadrant,in_balanced_train,in_balanced_validate,in_balanced_test,in_complete_train,in_complete_validate,in_complete_test
A150-132,Q2,False,True,False,False,False,True
A151-172,Q2,False,True,False,False,False,True
A152-108,Q1,False,True,False,False,True,False
A153-130,Q1,False,False,True,False,True,False
A157-71,Q3,False,False,True,True,False,False
A159-164,Q2,True,False,False,True,False,False
A160-149,Q1,True,False,False,False,True,False
A162,Q1,True,False,False,True,False,False
A165,Q4,True,False,False,True,False,False
A166,Q1,True,False,False,True,False,False
A167,Q1,False,False,True,False,False,True
A168,Q4,False,False,True,False,False,True
A170,Q3,True,False,False,True,False,False
A171,Q3,False,False,True,True,False,False
A172,Q2,False,False,True,False,False,True
A174,Q2,True,False,False,True,False,False
A176,Q2,False,True,False,False,False,True
A177,Q2,False,False,True,False,False,True
A178,Q4,False,False,True,False,False,True
A179,Q4,True,False,False,True,False,False
A182,Q2,False,True,False,False,False,True
A183,Q2,False,False,True,False,False,True
A186,Q4,True,False,False,True,False,False
A187,Q1,True,False,False,False,True,False
A188,Q3,True,False,False,True,False,False
A190,Q4,True,False,False,True,False,False
A191,Q3,False,False,True,False,False,True
A192,Q4,False,False,True,True,False,False
A193,Q2,False,False,True,False,False,True
A194,Q2,False,False,True,False,False,True
A195,Q3,False,False,True,True,False,False
A196,Q1,False,False,True,False,True,False
A198,Q4,False,False,True,False,False,True
MT0000004637,Q3,False,False,True,True,False,False
MT0000008995,Q3,False,True,False,False,True,False
MT0000010219,Q3,True,False,False,True,False,False
MT0000010844,Q4,True,False,False,True,False,False
MT0000011357,Q2,True,False,False,False,True,False
MT0000011975,Q2,False,True,False,False,True,False
MT0000022993,Q3,False,True,False,True,False,False
MT0000026571,Q4,True,False,False,True,False,False
MT0000027422,Q3,False,False,True,False,False,True
MT0000027476,Q3,False,True,False,False,True,False
MT0000030834,Q4,False,True,False,True,False,False
MT0000031210,Q3,False,False,True,False,False,True
MT0000038502,Q2,True,False,False,False,True,False
MT0000040632,Q1,True,False,False,False,True,False
MT0000040773,Q1,False,False,True,False,False,True
MT0000042939,Q2,False,False,True,True,False,False
MT0000043184,Q3,False,False,True,False,False,True
MT0000044741,Q3,False,False,True,False,False,True
MT0000045345,Q1,False,True,False,False,True,False
MT0000048600,Q4,True,False,False,True,False,False
MT0000054705,Q4,True,False,False,False,True,False
MT0000059269,Q3,False,False,True,False,False,True
MT0000060906,Q3,True,False,False,False,False,True
MT0000062500,Q3,True,False,False,True,False,False
MT0000063684,Q4,False,True,False,True,False,False
MT0000066236,Q2,False,True,False,False,True,False
MT0000066421,Q4,False,True,False,False,True,False
MT0000068300,Q4,False,False,False,False,False,True
MT0000069357,Q4,False,False,False,True,False,False
MT0000074128,Q3,False,True,False,True,False,False
MT0000080053,Q1,True,False,False,False,True,False
MT0000082188,Q3,False,False,True,False,False,True
MT0000086233,Q3,True,False,False,True,False,False
MT0000088320,Q3,False,True,False,False,False,True
MT0000089238,Q2,False,True,False,True,False,False
MT0000089410,Q4,True,False,False,True,False,False
MT0000091401,Q1,False,False,True,False,False,True
MT0000091781,Q3,False,False,True,False,False,True
MT0000092267,Q4,True,False,False,True,False,False
MT0000092637,Q3,False,False,True,False,False,True
MT0000093583,Q1,True,False,False,True,False,False
MT0000095414,Q3,False,False,True,False,False,True
MT0000097008,Q4,False,True,False,True,False,False
MT0000097948,Q4,True,False,False,True,False,False
MT0000098581,Q3,False,True,False,True,False,False
MT0000103049,Q4,False,False,True,False,False,True
MT0000103874,Q1,False,False,True,False,False,True
MT0000104363,Q1,False,True,False,True,False,False
MT0000105192,Q4,False,False,False,False,False,True
MT0000105492,Q1,False,False,True,False,False,True
MT0000109716,Q4,False,False,False,True,False,False
MT0000110175,Q1,False,False,True,True,False,False
MT0000113311,Q1,True,False,False,True,False,False
MT0000117176,Q4,True,False,False,True,False,False
MT0000119701,Q4,False,False,True,False,False,True
MT0000119987,Q1,False,False,True,False,False,True
MT0000123853,Q3,True,False,False,True,False,False
MT0000124779,Q3,False,False,True,False,False,True
MT0000128573,Q1,False,False,True,False,False,True
MT0000133200,Q2,False,False,True,False,False,True
MT0000135916,Q4,False,True,False,True,False,False
MT0000144160,Q4,False,False,True,False,False,True
MT0000145509,Q2,True,False,False,True,False,False
MT0000146284,Q4,False,False,True,False,False,True
MT0000146966,Q1,False,True,False,False,True,False
MT0000147182,Q4,True,False,False,False,False,True
MT0000151451,Q4,False,False,True,False,False,True
MT0000151529,Q3,False,False,True,False,False,True
MT0000153970,Q2,True,False,False,True,False,False
MT0000161127,Q1,False,False,False,True,False,False
MT0000162219,Q3,True,False,False,True,False,False
MT0000164441,Q4,False,False,True,False,False,True
MT0000169174,Q2,True,False,False,True,False,False
MT0000169836,Q2,True,False,False,True,False,False
MT0000171421,Q3,True,False,False,True,False,False
MT0000171852,Q3,False,True,False,False,True,False
MT0000174580,Q1,False,True,False,False,False,True
MT0000175597,Q3,False,False,True,False,False,True
MT0000177451,Q3,False,False,True,True,False,False
MT0000177878,Q4,False,True,False,False,True,False
MT0000185453,Q3,False,False,True,False,False,True
MT0000185601,Q1,False,False,True,False,False,True
MT0000186467,Q2,True,False,False,True,False,False
MT0000190640,Q2,False,True,False,True,False,False
MT0000192015,Q4,False,False,False,True,False,False
MT0000192913,Q3,False,True,False,False,True,False
MT0000192982,Q3,False,False,True,False,False,True
MT0000195705,Q4,False,False,True,False,False,True
MT0000197431,Q1,False,True,False,False,False,True
MT0000202045,Q4,False,False,True,False,False,True
MT0000203193,Q4,True,False,False,True,False,False
MT0000203272,Q3,False,True,False,True,False,False
MT0000204016,Q1,True,False,False,True,False,False
MT0000213542,Q4,False,False,False,True,False,False
MT0000214287,Q3,False,False,True,False,False,True
MT0000216849,Q2,False,False,True,False,False,True
MT0000218346,Q4,False,False,True,False,False,True
MT0000222773,Q4,True,False,False,True,False,False
MT0000225806,Q1,False,False,True,False,False,True
MT0000231442,Q2,True,False,False,True,False,False
MT0000231784,Q2,False,True,False,False,True,False
MT0000235880,Q4,True,False,False,True,False,False
MT0000245808,Q1,False,False,True,False,False,True
MT0000249842,Q1,True,False,False,False,False,True
MT0000252574,Q1,False,False,True,False,False,True
MT0000255724,Q3,False,False,True,False,False,True
MT0000258223,Q4,True,False,False,False,False,True
MT0000258646,Q2,False,True,False,True,False,False
MT0000265621,Q4,False,False,True,False,False,True
MT0000268576,Q3,False,False,True,False,False,True
MT0000270200,Q2,True,False,False,False,True,False
MT0000271454,Q1,False,True,False,True,False,False
MT0000271970,Q2,True,False,False,True,False,False
MT0000272906,Q2,False,False,False,True,False,False
MT0000273374,Q4,False,False,True,False,False,True
MT0000277032,Q4,False,True,False,False,True,False
MT0000277633,Q3,False,False,True,False,False,True
MT0000283043,Q2,True,False,False,True,False,False
MT0000287606,Q4,False,True,False,False,True,False
MT0000287921,Q2,True,False,False,True,False,False
MT0000289116,Q3,True,False,False,True,False,False
MT0000292000,Q4,False,True,False,False,True,False
MT0000293345,Q3,False,False,True,False,False,True
MT0000299291,Q3,False,False,True,False,False,True
MT0000300896,Q3,True,False,False,True,False,False
MT0000302038,Q1,True,False,False,False,False,True
MT0000310204,Q1,False,False,True,False,False,True
MT0000312152,Q3,False,True,False,False,False,True
MT0000315363,Q1,False,False,True,False,False,True
MT0000315392,Q3,False,False,True,False,False,True
MT0000316110,Q2,False,False,True,False,False,True
MT0000317770,Q1,False,False,False,True,False,False
MT0000318206,Q2,False,True,False,False,True,False
MT0000318279,Q4,True,False,False,True,False,False
MT0000320757,Q3,False,True,False,False,True,False
MT0000321394,Q2,False,False,True,True,False,False
MT0000321824,Q4,False,True,False,False,True,False
MT0000325093,Q1,False,True,False,False,True,False
MT0000335310,Q4,False,True,False,False,True,False
MT0000336135,Q4,True,False,False,True,False,False
MT0000344141,Q1,False,False,False,True,False,False
MT0000348553,Q4,False,False,True,False,False,True
MT0000348835,Q4,False,False,False,True,False,False
MT0000353361,Q3,False,True,False,False,True,False
MT0000357325,Q3,True,False,False,False,True,False
MT0000364027,Q1,False,False,True,False,False,True
MT0000369188,Q1,True,False,False,False,False,True
MT0000370694,Q4,True,False,False,False,True,False
MT0000377411,Q2,False,False,False,False,False,True
MT0000379144,Q3,True,False,False,True,False,False
MT0000380307,Q4,True,False,False,False,False,True
MT0000380971,Q3,True,False,False,True,False,False
MT0000381928,Q3,True,False,False,False,False,True
MT0000391566,Q4,False,False,True,False,False,True
MT0000392975,Q1,True,False,False,True,False,False
MT0000398595,Q4,False,False,True,False,False,True
MT0000400490,Q1,True,False,False,False,True,False
MT0000401186,Q1,True,False,False,False,True,False
MT0000401600,Q1,True,False,False,True,False,False
MT0000408441,Q3,True,False,False,True,False,False
MT0000409922,Q4,False,False,True,False,False,True
MT0000413173,Q3,False,False,True,False,False,True
MT0000414517,Q1,True,False,False,False,False,True
MT0000419956,Q2,False,True,False,False,True,False
MT0000421504,Q4,False,False,True,False,False,True
MT0000425270,Q2,True,False,False,True,False,False
MT0000426771,Q3,True,False,False,True,False,False
MT0000426880,Q1,False,True,False,False,True,False
MT0000434716,Q1,False,False,False,True,False,False
MT0000436815,Q4,False,False,True,False,False,True
MT0000441552,Q2,False,False,True,False,False,True
MT0000442827,Q1,False,False,True,True,False,False
MT0000446304,Q3,False,False,True,False,False,True
MT0000447539,Q4,True,False,False,True,False,False
MT0000456939,Q2,False,False,True,False,False,True
MT0000460427,Q4,False,False,False,True,False,False
MT0000460480,Q4,False,True,False,False,True,False
MT0000463371,Q2,True,False,False,False,False,True
MT0000475876,Q1,False,False,True,False,False,True
MT0000481003,Q1,False,False,False,True,False,False
MT0000481304,Q4,True,False,False,True,False,False
MT0000483039,Q4,False,False,True,True,False,False
MT0000487439,Q3,True,False,False,True,False,False
MT0000495176,Q2,False,False,False,True,False,False
MT0000497520,Q1,False,True,False,False,True,False
MT0000515256,Q3,False,False,True,False,False,True
MT0000518591,Q1,False,False,True,False,False,True
MT0000522450,Q1,True,False,False,True,False,False
MT0000522789,Q4,True,False,False,False,False,True
MT0000522938,Q2,True,False,False,True,False,False
MT0000523576,Q4,False,False,True,True,False,False
MT0000524741,Q4,True,False,False,True,False,False
MT0000526302,Q4,False,False,True,False,False,True
MT0000526867,Q3,False,False,True,False,False,True
MT0000534539,Q3,False,False,True,False,False,True
MT0000540286,Q1,False,False,True,False,False,True
MT0000546446,Q1,False,True,False,False,True,False
MT0000547065,Q3,False,False,True,False,False,True
MT0000549945,Q4,True,False,False,True,False,False
MT0000550961,Q4,False,False,True,False,False,True
MT0000553622,Q3,False,False,True,False,False,True
MT0000556349,Q1,False,True,False,False,True,False
MT0000562195,Q2,False,True,False,False,False,True
MT0000567692,Q3,False,False,True,False,True,False
MT0000570966,Q3,False,False,True,False,False,True
MT0000573766,Q2,False,False,False,True,False,False
MT0000576231,Q2,True,False,False,True,False,False
MT0000581530,Q1,True,False,False,True,False,False
MT0000595581,Q4,True,False,False,False,True,False
MT0000599398,Q4,False,False,True,False,False,True
MT0000603187,Q3,False,False,True,False,False,True
MT0000603561,Q3,False,True,False,False,True,False
MT0000604234,Q2,False,False,True,False,False,True
MT0000615489,Q1,False,True,False,False,True,False
MT0000619767,Q3,True,False,False,False,True,False
MT0000620635,Q4,True,False,False,False,True,False
MT0000621840,Q1,False,True,False,False,True,False
MT0000630628,Q4,False,False,True,False,False,True
MT0000631491,Q4,True,False,False,True,False,False
MT0000633351,Q4,False,False,True,False,False,True
MT0000636335,Q4,False,True,False,False,True,False
MT0000638424,Q4,True,False,False,True,False,False
MT0000638634,Q4,False,False,True,False,False,True
MT0000642549,Q2,True,False,False,True,False,False
MT0000643201,Q3,False,False,True,False,False,True
MT0000647818,Q4,False,True,False,False,False,True
MT0000652082,Q4,False,False,True,False,False,True
MT0000661250,Q3,False,True,False,False,True,False
MT0000661847,Q4,False,False,True,False,False,True
MT0000664362,Q1,False,True,False,False,True,False
MT0000666429,Q2,True,False,False,False,True,False
MT0000670865,Q4,False,False,True,False,False,True
MT0000672880,Q1,True,False,False,True,False,False
MT0000682947,Q2,False,False,False,True,False,False
MT0000685324,Q3,False,False,True,False,False,True
MT0000685538,Q3,True,False,False,True,False,False
MT0000685552,Q3,True,False,False,False,False,True
MT0000688115,Q3,False,False,True,False,False,True
MT0000688312,Q3,False,False,True,False,False,True
MT0000694316,Q2,True,False,False,True,False,False
MT0000698081,Q4,True,False,False,True,False,False
MT0000704913,Q1,True,False,False,True,False,False
MT0000707663,Q4,False,True,False,False,True,False
MT0000710146,Q4,False,False,False,True,False,False
MT0000711493,Q4,False,False,False,True,False,False
MT0000712071,Q1,True,False,False,False,False,True
MT0000712316,Q1,False,True,False,False,False,True
MT0000714708,Q1,False,False,True,False,False,True
MT0000716124,Q1,False,True,False,True,False,False
MT0000720686,Q3,True,False,False,False,True,False
MT0000721873,Q1,False,False,True,False,False,True
MT0000723464,Q4,True,False,False,True,False,False
MT0000724357,Q2,True,False,False,False,False,True
MT0000727738,Q3,True,False,False,False,True,False
MT0000729701,Q2,False,False,False,True,False,False
MT0000732206,Q4,False,False,False,True,False,False
MT0000732821,Q2,False,True,False,False,True,False
MT0000734482,Q4,False,False,True,False,False,True
MT0000735056,Q2,True,False,False,True,False,False
MT0000737624,Q1,False,False,False,True,False,False
MT0000737807,Q1,False,False,False,False,True,False
MT0000741489,Q2,True,False,False,True,False,False
MT0000744293,Q2,False,True,False,False,True,False
MT0000746822,Q4,True,False,False,False,False,True
MT0000747666,Q3,False,False,True,False,False,True
MT0000753074,Q4,False,False,True,False,False,True
MT0000754511,Q4,False,True,False,False,True,False
MT0000762097,Q4,False,False,True,False,False,True
MT0000763275,Q3,True,False,False,False,False,True
MT0000764951,Q3,False,False,True,False,False,True
MT0000766316,Q1,False,False,True,False,False,True
MT0000772749,Q1,True,False,False,True,False,False
MT0000773391,Q1,True,False,False,True,False,False
MT0000775053,Q4,False,False,True,False,False,True
MT0000776108,Q3,True,False,False,False,True,False
MT0000778102,Q2,True,False,False,True,False,False
MT0000780401,Q3,True,False,False,False,False,True
MT0000783307,Q2,False,False,True,False,False,True
MT0000789330,Q2,False,False,True,False,False,True
MT0000793161,Q4,True,False,False,False,False,True
MT0000796526,Q3,False,True,False,True,False,False
MT0000805883,Q4,True,False,False,False,True,False
MT0000807741,Q1,True,False,False,True,False,False
MT0000808227,Q2,True,False,False,False,False,True
MT0000811092,Q4,True,False,False,False,False,True
MT0000811743,Q3,True,False,False,True,False,False
MT0000821772,Q4,False,False,False,True,False,False
MT0000825920,Q4,False,True,False,False,True,False
MT0000826010,Q1,False,False,False,True,False,False
MT0000829531,Q2,False,True,False,False,True,False
MT0000829765,Q3,True,False,False,False,False,True
MT0000832464,Q3,False,True,False,False,True,False
MT0000834505,Q2,True,False,False,True,False,False
MT0000848769,Q4,False,True,False,False,True,False
MT0000850050,Q3,False,True,False,False,True,False
MT0000850957,Q2,False,False,True,False,False,True
MT0000851865,Q1,False,False,True,False,False,True
MT0000852582,Q2,True,False,False,True,False,False
MT0000853072,Q3,False,False,True,False,False,True
MT0000854722,Q1,True,False,False,True,False,False
MT0000857091,Q3,True,False,False,True,False,False
MT0000863232,Q4,False,False,True,False,False,True
MT0000863543,Q1,True,False,False,True,False,False
MT0000865478,Q1,False,False,False,True,False,False
MT0000871290,Q1,False,True,False,False,False,True
MT0000874482,Q2,False,False,True,False,False,True
MT0000875199,Q3,False,False,True,False,False,True
MT0000875520,Q1,False,False,True,False,False,True
MT0000886390,Q1,False,False,True,False,False,True
MT0000886723,Q3,True,False,False,True,False,False
MT0000888329,Q4,False,False,True,False,False,True
MT0000889229,Q3,False,False,True,False,False,True
MT0000892306,Q2,True,False,False,False,True,False
MT0000895003,Q2,True,False,False,True,False,False
MT0000895905,Q4,False,False,True,False,False,True
MT0000897883,Q1,True,False,False,True,False,False
MT0000900387,Q2,True,False,False,True,False,False
MT0000900995,Q4,True,False,False,True,False,False
MT0000901959,Q4,False,False,True,False,False,True
MT0000903225,Q4,False,False,True,False,False,True
MT0000906888,Q4,False,False,True,True,False,False
MT0000910270,Q2,True,False,False,True,False,False
MT0000913916,Q4,True,False,False,True,False,False
MT0000920227,Q4,False,True,False,False,True,False
MT0000922312,Q4,False,False,False,False,False,True
MT0000927561,Q2,False,False,True,False,False,True
MT0000931402,Q3,True,False,False,False,False,True
MT0000934613,Q2,True,False,False,True,False,False
MT0000936370,Q1,True,False,False,True,False,False
MT0000941301,Q3,True,False,False,False,True,False
MT0000945118,Q4,True,False,False,True,False,False
MT0000948111,Q1,False,False,True,True,False,False
MT0000949813,Q3,True,False,False,True,False,False
MT0000950090,Q3,False,False,True,False,False,True
MT0000954088,Q1,False,True,False,False,True,False
MT0000956340,Q2,False,False,True,False,False,True
MT0000971834,Q2,False,True,False,False,True,False
MT0000972004,Q2,True,False,False,True,False,False
MT0000973218,Q2,False,False,False,True,False,False
MT0000975216,Q2,False,False,False,True,False,False
MT0000980148,Q4,True,False,False,True,False,False
MT0000982297,Q1,True,False,False,True,False,False
MT0000984023,Q2,True,False,False,True,False,False
MT0000987523,Q1,False,False,False,False,True,False
MT0000992846,Q1,False,False,True,False,False,True
MT0000997306,Q2,False,False,False,False,True,False
MT0001016068,Q3,False,False,True,True,False,False
MT0001020011,Q4,False,False,True,False,False,True
MT0001026170,Q1,True,False,False,True,False,False
MT0001030436,Q3,True,False,False,True,False,False
MT0001032211,Q4,False,False,True,False,False,True
MT0001035786,Q3,True,False,False,False,False,True
MT0001042055,Q4,False,True,False,False,True,False
MT0001043721,Q2,False,True,False,False,True,False
MT0001051344,Q4,False,True,False,False,True,False
MT0001052263,Q3,False,False,True,False,True,False
MT0001053268,Q1,False,True,False,False,True,False
MT0001053762,Q2,False,False,False,False,False,True
MT0001057748,Q4,True,False,False,False,False,True
MT0001058887,Q4,False,False,True,False,False,True
MT0001062700,Q3,False,False,True,False,False,True
MT0001062974,Q2,True,False,False,True,False,False
MT0001068364,Q3,False,True,False,True,False,False
MT0001069996,Q4,True,False,False,True,False,False
MT0001082164,Q1,False,True,False,True,False,False
MT0001084055,Q4,True,False,False,True,False,False
MT0001084444,Q1,True,False,False,True,False,False
MT0001094338,Q4,True,False,False,True,False,False
MT0001095298,Q3,True,False,False,True,False,False
MT0001098562,Q2,False,True,False,False,True,False
MT0001101467,Q2,False,False,True,False,False,True
MT0001102610,Q3,True,False,False,True,False,False
MT0001104467,Q3,False,False,True,False,False,True
MT0001104727,Q4,False,False,False,False,True,False
MT0001106114,Q4,False,False,True,False,False,True
MT0001108070,Q4,True,False,False,True,False,False
MT0001109401,Q4,False,False,True,False,False,True
MT0001115644,Q3,True,False,False,True,False,False
MT0001116511,Q2,True,False,False,False,False,True
MT0001117815,Q1,False,True,False,False,False,True
MT0001121577,Q4,False,True,False,False,True,False
MT0001133011,Q2,False,False,False,False,True,False
MT0001134958,Q3,True,False,False,True,False,False
MT0001135075,Q1,False,False,False,True,False,False
MT0001137053,Q3,False,False,True,False,False,True
MT0001144930,Q4,False,True,False,False,True,False
MT0001152165,Q4,True,False,False,True,False,False
MT0001152664,Q3,True,False,False,False,True,False
MT0001153847,Q1,False,False,True,False,False,True
MT0001156310,Q3,True,False,False,True,False,False
MT0001157069,Q3,True,False,False,True,False,False
MT0001168323,Q4,False,True,False,False,True,False
MT0001169715,Q1,True,False,False,True,False,False
MT0001183783,Q4,False,True,False,False,True,False
MT0001189913,Q1,False,False,True,False,False,True
MT0001193202,Q2,False,False,True,False,False,True
MT0001193331,Q1,False,True,False,False,True,False
MT0001193971,Q3,False,False,True,False,False,True
MT0001194164,Q3,False,False,True,False,False,True
MT0001195535,Q4,False,False,True,False,False,True
MT0001202986,Q1,False,False,True,False,False,True
MT0001217651,Q1,False,True,False,False,True,False
MT0001227219,Q4,True,False,False,True,False,False
MT0001230193,Q2,True,False,False,False,False,True
MT0001230298,Q3,False,True,False,False,True,False
MT0001234946,Q1,False,False,False,True,False,False
MT0001236649,Q1,False,False,False,True,False,False
MT0001243097,Q4,False,False,True,False,False,True
MT0001243566,Q1,True,False,False,False,True,False
MT0001253889,Q3,True,False,False,True,False,False
MT0001256033,Q3,False,True,False,False,True,False
MT0001265984,Q3,False,False,True,False,False,True
MT0001266436,Q3,True,False,False,False,False,True
MT0001267997,Q4,False,True,False,False,True,False
MT0001276044,Q2,True,False,False,True,False,False
MT0001277283,Q3,False,False,True,False,False,True
MT0001284282,Q1,False,True,False,False,True,False
MT0001284801,Q3,False,True,False,True,False,False
MT0001287647,Q2,False,False,True,True,False,False
MT0001289749,Q1,True,False,False,True,False,False
MT0001292451,Q1,True,False,False,True,False,False
MT0001297031,Q3,False,True,False,False,True,False
MT0001298241,Q3,False,False,True,False,False,True
MT0001301827,Q4,True,False,False,True,False,False
MT0001302466,Q3,True,False,False,False,False,True
MT0001305231,Q4,True,False,False,False,False,True
MT0001305550,Q3,False,False,True,False,False,True
MT0001308506,Q4,False,False,False,False,False,True
MT0001309422,Q3,True,False,False,True,False,False
MT0001313815,Q4,False,True,False,False,True,False
MT0001318718,Q1,False,True,False,True,False,False
MT0001321861,Q2,False,False,True,False,False,True
MT0001323755,Q4,False,True,False,False,True,False
MT0001323890,Q3,True,False,False,False,True,False
MT0001328889,Q2,True,False,False,True,False,False
MT0001331047,Q3,False,True,False,False,True,False
MT0001332899,Q3,False,False,True,False,True,False
MT0001333258,Q2,False,True,False,False,True,False
MT0001335920,Q1,False,False,True,False,False,True
MT0001339839,Q3,True,False,False,True,False,False
MT0001340527,Q3,False,True,False,True,False,False
MT0001340713,Q1,False,False,False,True,False,False
MT0001347462,Q4,True,False,False,True,False,False
MT0001353828,Q2,False,False,True,False,False,True
MT0001356476,Q1,True,False,False,False,False,True
MT0001356637,Q3,False,False,True,True,False,False
MT0001361436,Q2,False,False,True,False,False,True
MT0001362313,Q3,False,False,True,False,False,True
MT0001368531,Q4,False,True,False,False,True,False
MT0001369981,Q3,False,False,True,False,False,True
MT0001370627,Q4,True,False,False,True,False,False
MT0001372070,Q3,False,False,True,False,False,True
MT0001376988,Q2,False,False,True,True,False,False
MT0001377616,Q4,False,True,False,False,True,False
MT0001377742,Q2,False,False,True,True,False,False
MT0001380360,Q2,False,False,True,True,False,False
MT0001383277,Q2,False,False,True,False,False,True
MT0001385947,Q3,False,False,True,False,False,True
MT0001391154,Q1,False,False,False,False,False,True
MT0001394087,Q4,True,False,False,True,False,False
MT0001395462,Q3,False,False,True,True,False,False
MT0001397431,Q2,True,False,False,True,False,False
MT0001404677,Q3,False,True,False,False,True,False
MT0001415729,Q2,False,False,False,True,False,False
MT0001417252,Q4,True,False,False,True,False,False
MT0001418045,Q1,True,False,False,True,False,False
MT0001419145,Q2,False,False,False,True,False,False
MT0001435061,Q3,True,False,False,False,True,False
MT0001436086,Q4,False,True,False,False,True,False
MT0001438043,Q4,False,False,True,False,False,True
MT0001440624,Q3,True,False,False,True,False,False
MT0001453285,Q3,False,False,True,False,False,True
MT0001459810,Q2,False,False,False,True,False,False
MT0001463745,Q4,False,False,True,False,False,True
MT0001472536,Q3,True,False,False,True,False,False
MT0001473110,Q2,True,False,False,True,False,False
MT0001473158,Q2,False,False,True,False,False,True
MT0001474073,Q3,True,False,False,True,False,False
MT0001477169,Q4,False,False,True,True,False,False
MT0001486960,Q1,True,False,False,True,False,False
MT0001494267,Q3,False,True,False,True,False,False
MT0001494812,Q4,False,False,True,False,False,True
MT0001497191,Q1,True,False,False,True,False,False
MT0001497786,Q3,False,True,False,False,True,False
MT0001504929,Q1,False,False,True,True,False,False
MT0001509368,Q1,False,True,False,False,False,True
MT0001509615,Q3,False,False,True,False,False,True
